Date,HomeTeam,AwayTeam,FTHG,FTAG,HA_Scored,Note
28/08/10,Roma,Cesena,0,0,0,0.0
28/08/10,Udinese,Genoa,0,1,0,0.0
29/08/10,Bari,Juventus,1,0,0,0.0
29/08/10,Chievo,Catania,2,1,1,0.04198057499844161
29/08/10,Fiorentina,Napoli,1,1,1,0.04198057499844161
29/08/10,Milan,Lecce,4,0,0,0.0
29/08/10,Palermo,Cagliari,0,0,0,0.0
29/08/10,Parma,Brescia,2,0,0,0.0
29/08/10,Sampdoria,Lazio,2,0,0,0.0
30/08/10,Bologna,Inter,0,0,0,0.0
11/09/10,Cagliari,Roma,5,1,1,0.04198057499844161
11/09/10,Cesena,Milan,2,0,0,0.0
11/09/10,Inter,Udinese,2,1,1,0.04198057499844161
12/09/10,Brescia,Palermo,3,2,1,0.04198057499844161
12/09/10,Catania,Parma,2,1,1,0.06297086249766241
12/09/10,Genoa,Chievo,1,3,1,0.06297086249766241
12/09/10,Juventus,Sampdoria,3,3,1,0.04198057499844161
12/09/10,Lazio,Bologna,3,1,1,0.04198057499844161
12/09/10,Lecce,Fiorentina,1,0,0,0.018869615714790688
12/09/10,Napoli,Bari,2,2,1,0.06297086249766241
18/09/10,Fiorentina,Lazio,1,2,1,0.08820249356574345
18/09/10,Milan,Catania,1,1,1,0.09032316535017357
19/09/10,Bari,Cagliari,0,0,0,0.037739231429581375
19/09/10,Cesena,Lecce,1,0,0,0.0
19/09/10,Chievo,Brescia,0,1,0,0.06085019071323229
19/09/10,Palermo,Inter,1,2,1,0.08396114999688321
19/09/10,Parma,Genoa,1,1,1,0.08396114999688321
19/09/10,Roma,Bologna,2,2,1,0.08820249356574345
19/09/10,Sampdoria,Napoli,1,2,1,0.11131345284939437
19/09/10,Udinese,Juventus,0,4,0,0.037739231429581375
22/09/10,Bologna,Udinese,2,1,1,0.10919278106496424
22/09/10,Brescia,Roma,2,1,1,0.11555479641825461
22/09/10,Cagliari,Sampdoria,0,0,0,0.06297086249766241
22/09/10,Catania,Cesena,2,0,0,0.0629708624976624
22/09/10,Genoa,Fiorentina,1,1,1,0.13230374034861517
22/09/10,Inter,Bari,4,0,0,0.06297086249766241
22/09/10,Lazio,Milan,1,1,1,0.11131345284939437
22/09/10,Lecce,Parma,1,1,1,0.09032316535017357
22/09/10,Napoli,Chievo,1,3,1,0.16177671498555646
23/09/10,Juventus,Palermo,1,3,1,0.11555479641825461
25/09/10,Milan,Genoa,1,0,0,0.104951437496104
25/09/10,Roma,Inter,1,0,0,0.104951437496104
26/09/10,Bari,Brescia,2,1,1,0.104951437496104
26/09/10,Catania,Bologna,1,1,1,0.19337036140692784
26/09/10,Cesena,Napoli,1,4,1,0.147148442839626
26/09/10,Chievo,Lazio,0,1,0,0.1259417249953248
26/09/10,Fiorentina,Parma,2,0,0,0.13866575570190554
26/09/10,Juventus,Cagliari,4,2,1,0.11767546820268471
26/09/10,Palermo,Lecce,2,2,1,0.1344244121330453
26/09/10,Sampdoria,Udinese,0,0,0,0.08820249356574345
02/10/10,Parma,Milan,0,1,0,0.104951437496104
02/10/10,Udinese,Cesena,1,0,0,0.05660884714437206
03/10/10,Bologna,Sampdoria,1,1,1,0.18488767426920738
03/10/10,Chievo,Cagliari,0,0,0,0.104951437496104
03/10/10,Fiorentina,Palermo,1,2,1,0.22708467961272935
03/10/10,Genoa,Bari,2,1,1,0.17025940212327692
03/10/10,Inter,Juventus,0,0,0,0.09858942214281366
03/10/10,Lazio,Brescia,1,0,0,0.13230374034861517
03/10/10,Lecce,Catania,1,0,0,0.1344244121330453
03/10/10,Napoli,Roma,2,0,0,0.18488767426920738
16/10/10,Milan,Chievo,3,1,1,0.17025940212327692
16/10/10,Roma,Genoa,2,1,1,0.2079986335528583
17/10/10,Bari,Lazio,0,2,0,0.1259417249953248
17/10/10,Brescia,Udinese,0,1,0,0.11555479641825461
17/10/10,Cagliari,Inter,0,1,0,0.08396114999688321
17/10/10,Catania,Napoli,1,1,1,0.2902719724554721
17/10/10,Cesena,Parma,1,1,1,0.147148442839626
17/10/10,Juventus,Lecce,4,0,0,0.11767546820268471
17/10/10,Palermo,Bologna,4,1,1,0.3155036035235531
17/10/10,Sampdoria,Fiorentina,2,1,1,0.2079986335528583
23/10/10,Fiorentina,Bari,2,1,1,0.25468646906923303
24/10/10,Bologna,Juventus,0,0,0,0.1952746028462776
24/10/10,Chievo,Cesena,2,1,1,0.16977729418540943
24/10/10,Genoa,Catania,1,0,0,0.2329645870281522
24/10/10,Inter,Sampdoria,1,1,1,0.19549103319135797
24/10/10,Lazio,Cagliari,2,1,1,0.17025940212327692
24/10/10,Lecce,Brescia,2,1,1,0.16177671498555646
24/10/10,Parma,Roma,0,0,0,0.1764049871314869
24/10/10,Udinese,Palermo,2,1,1,0.2544369824652405
25/10/10,Napoli,Milan,1,2,1,0.25951413608683815
29/10/10,Genoa,Inter,0,1,0,0.1716322883770524
30/10/10,Milan,Juventus,1,2,1,0.20217369440060606
30/10/10,Roma,Lecce,2,0,0,0.1466663349017585
31/10/10,Bari,Udinese,0,2,0,0.13660005218064603
31/10/10,Brescia,Napoli,0,1,0,0.2544538477353581
31/10/10,Cagliari,Bologna,2,0,0,0.20878519635788892
31/10/10,Catania,Fiorentina,0,0,0,0.23697330926313753
31/10/10,Cesena,Sampdoria,0,1,0,0.18593991466702514
31/10/10,Palermo,Lazio,0,1,0,0.24308583801243533
31/10/10,Parma,Chievo,0,0,0,0.18307145735194041
06/11/10,Bologna,Lecce,2,0,0,0.18413988873855275
06/11/10,Inter,Brescia,1,1,1,0.1984313240397309
07/11/10,Bari,Milan,2,3,1,0.24864509957190045
07/11/10,Fiorentina,Chievo,1,0,0,0.24551539177033893
07/11/10,Juventus,Cesena,3,1,1,0.21885147907900143
07/11/10,Lazio,Roma,0,2,0,0.15677139489724706
07/11/10,Napoli,Parma,2,0,0,0.22979234912722737
07/11/10,Palermo,Genoa,1,0,0,0.2555772473851411
07/11/10,Sampdoria,Catania,0,0,0,0.1873677691839713
07/11/10,Udinese,Cagliari,1,1,1,0.17507087815208744
10/11/10,Brescia,Juventus,1,1,1,0.25345657560071094
10/11/10,Cagliari,Napoli,0,1,0,0.21389266506083082
10/11/10,Catania,Udinese,1,0,0,0.1593105116880208
10/11/10,Cesena,Lazio,1,0,0,0.1525681543214398
10/11/10,Chievo,Bari,0,0,0,0.1963969083741798
10/11/10,Genoa,Bologna,1,0,0,0.22232156842772183
10/11/10,Lecce,Inter,1,1,1,0.18943347270523078
10/11/10,Milan,Palermo,3,1,1,0.3730722940908424
10/11/10,Roma,Fiorentina,3,2,1,0.2387870787039426
11/11/10,Parma,Sampdoria,1,0,0,0.16317711726416373
13/11/10,Fiorentina,Cesena,1,0,0,0.2262863909369931
13/11/10,Juventus,Roma,1,1,1,0.2714595606409489
14/11/10,Bari,Parma,0,1,0,0.15506910280664732
14/11/10,Bologna,Brescia,1,0,0,0.21359908933697472
14/11/10,Cagliari,Genoa,0,1,0,0.14288420995454496
14/11/10,Inter,Milan,0,1,0,0.2541361975381963
14/11/10,Lazio,Napoli,2,0,0,0.17969892586320496
14/11/10,Palermo,Catania,3,1,1,0.28677620322539654
14/11/10,Sampdoria,Chievo,0,0,0,0.17292147012195583
14/11/10,Udinese,Lecce,4,0,0,0.1368931804857517
20/11/10,Milan,Fiorentina,1,0,0,0.28291596236783045
20/11/10,Roma,Udinese,2,0,0,0.16847938626330156
21/11/10,Brescia,Cagliari,1,2,1,0.25667991446517424
21/11/10,Catania,Bari,1,0,0,0.177068691567295
21/11/10,Cesena,Palermo,1,2,1,0.34885437606093095
21/11/10,Chievo,Inter,2,1,1,0.2197447931840164
21/11/10,Genoa,Juventus,0,2,0,0.1984122157914339
21/11/10,Lecce,Sampdoria,2,3,1,0.23052109239840263
21/11/10,Napoli,Bologna,4,1,1,0.26656491027393636
21/11/10,Parma,Lazio,1,1,1,0.14783203249350424
27/11/10,Juventus,Fiorentina,1,1,1,0.3284688617174036
27/11/10,Sampdoria,Milan,1,1,1,0.28765455027927095
28/11/10,Bari,Cesena,1,1,1,0.2439987410852668
28/11/10,Brescia,Genoa,0,0,0,0.18710292509885376
28/11/10,Cagliari,Lecce,3,2,1,0.2206971438587671
28/11/10,Inter,Parma,5,2,1,0.2448634437025211
28/11/10,Lazio,Catania,1,1,1,0.21344648008617484
28/11/10,Palermo,Roma,3,1,1,0.3383190971823376
28/11/10,Udinese,Napoli,3,1,1,0.24471740451829643
03/12/10,Lazio,Inter,3,1,1,0.29668878193798653
04/12/10,Chievo,Roma,2,2,1,0.2808715328529514
04/12/10,Milan,Brescia,3,0,0,0.2712220378512228
05/12/10,Catania,Juventus,1,3,1,0.3069079298766846
05/12/10,Cesena,Bologna,0,2,0,0.21651881760501196
05/12/10,Fiorentina,Cagliari,1,0,0,0.24010940152905386
05/12/10,Lecce,Genoa,1,3,1,0.23264040509411477
05/12/10,Parma,Udinese,2,1,1,0.2151197530219364
05/12/10,Sampdoria,Bari,3,0,0,0.2072570407975981
06/12/10,Napoli,Palermo,1,0,0,0.34454402246052185
08/12/10,Bologna,Chievo,2,1,1,0.24867988174822367
11/12/10,Genoa,Napoli,0,1,0,0.1900135182971685
11/12/10,Palermo,Parma,3,1,1,0.387824787856587
11/12/10,Udinese,Fiorentina,2,1,1,0.29741751167151204
12/12/10,Bologna,Milan,0,3,0,0.25009895226104417
